route,flights,avg_arr_delay,pct_delayed
IAH-DFW,5112,19.789659224441834,28.38419405320814
CLT-DFW,4094,13.92685321551301,28.382999511480218
RSW-PHL,1339,18.725914861837193,28.37938760268857
CLT-RSW,1963,15.855901890648953,28.37493632195619
DFW-IAH,5102,17.628436763550667,28.36142689141513
BOS-FLL,3121,12.477645545191379,28.35629605895546
PBI-PHL,1612,22.907510862818125,28.34987593052109
MCO-SFO,1129,11.932504440497336,28.3436669619132
CLT-ALB,1193,18.572268907563025,28.331936295054483
DFW-ONT,2360,15.342094107672743,28.30508474576271
DFW-PSP,1007,14.492537313432836,28.30188679245283
DFW-BOS,4007,14.587690768076056,28.300474170202143
SBA-SFO,1159,17.503454231433505,28.30025884383089
HHH-CLT,948,9.434920634920635,28.270042194092827
CLT-DEN,2886,12.381167477414872,28.23977823977824
TPA-DFW,2876,19.005950297514875,28.2336578581363
MIA-DEN,2427,17.095415117719952,28.224145035022662
TPA-SFO,560,12.250450450450451,28.214285714285715
DFW-LAX,6931,13.580337808575141,28.206607993074595
ORD-CID,2036,14.68327577701036,28.192534381139488
MDW-SJC,564,8.980357142857143,28.191489361702125
IAH-JAX,862,13.908246225319395,28.190255220417633
TPA-SEA,984,7.166666666666667,28.15040650406504
CLT-VPS,1162,17.385615251299825,28.141135972461274
FLL-MCO,1269,12.081954294720251,28.132387706855795
MIA-BHM,672,9.175595238095237,28.125
CLT-IAH,2574,16.50390015600624,28.088578088578085
ORD-CMI,645,15.297674418604652,28.06201550387597
JFK-SJU,3689,12.178513293543137,28.05638384386012
ORD-FAR,1718,18.6707530647986,28.055878928987195
IAH-SFO,3098,14.591863093316112,28.05035506778567
DFW-SLC,3945,17.565846231920833,28.010139416983527
IAH-MIA,3252,15.789636027143738,27.982779827798275
MCO-SDF,940,14.831914893617022,27.97872340425532
MIA-LAX,3496,14.51103468042419,27.974828375286044
CLT-MDW,808,9.997512437810945,27.970297029702973
BOS-MCO,4749,12.346308440871589,27.9216677195199
SJU-CLT,1100,21.26923076923077,27.90909090909091
CLT-PIT,1918,15.17318727177882,27.89363920750782
IAH-RDU,850,12.90341578327444,27.88235294117647
SAV-DFW,965,23.212278876170657,27.875647668393782
DFW-DEN,6080,15.652818991097924,27.861842105263158
ATL-DFW,6415,16.579351402161993,27.856586126266563
CLT-RIC,2734,18.00183284457478,27.834674469641552
ASE-DFW,1089,17.514842300556587,27.823691460055095
MIA-PHX,1747,14.565442020665902,27.819118488838008
ORD-CMX,698,22.63005780346821,27.793696275071632
ORD-CRW,911,15.631346578366445,27.771679473106474
DEN-BHM,1077,8.62453531598513,27.762302692664807
DFW-BUR,717,12.415384615384616,27.754532775453278
CRW-ORD,908,20.52212389380531,27.75330396475771
CLT-CMH,2026,15.0,27.73938795656466
CLT-PVD,1569,18.206389776357828,27.724665391969406
ORF-MCO,736,15.33242506811989,27.717391304347828
FLL-PHL,2487,16.472624798711756,27.70406111781263
MIA-JFK,5372,15.250606456428438,27.699180938198065
SAN-FAT,1004,12.161515453639083,27.689243027888445
MIA-PIT,679,13.19440353460972,27.68777614138439
DFW-ORF,968,15.402489626556017,27.685950413223143
AUS-FLL,969,11.469917012448132,27.657378740970074
DEN-JAX,922,11.36304347826087,27.65726681127983
BNA-CLT,3624,16.982872928176796,27.64900662251656
RSW-BOS,2175,15.632718894009217,27.632183908045977
MIA-PHL,3073,15.215890589384566,27.62772534982102
LAS-OMA,1144,8.467954345917471,27.62237762237762
DFW-RNO,1307,12.142307692307693,27.620504973221117
SAN-MCO,565,8.978685612788633,27.61061946902655
CLT-CAK,1275,15.984301412872842,27.6078431372549
ATL-MIA,6623,16.974708465848856,27.600785142684586
BWI-BDL,1674,10.426778242677825,27.598566308243726
CMX-ORD,700,17.759656652360515,27.57142857142857
OMA-DFW,1498,15.473543201607502,27.570093457943923
SDF-CLT,2024,17.21622958931222,27.56916996047431
EWR-MCI,555,9.517179023508138,27.56756756756757
DAL-BHM,922,12.77765726681128,27.54880694143167
ASE-LAX,1089,18.166820276497695,27.548209366391184
DFW-STL,2345,14.112724167378309,27.547974413646052
SFO-DFW,3997,15.489073097211756,27.52064048036027
AVL-CLT,2043,15.118079372856442,27.508565834557025
AUS-SMF,549,10.067395264116575,27.504553734061933
MCO-PHL,5454,15.487975032127776,27.502750275027505
DCA-BGR,935,12.154340836012862,27.48663101604278
ORD-ATW,1823,18.22222222222222,27.48217224355458
SAT-DFW,4434,18.994579945799458,27.46955345060893
LIT-DFW,2938,16.55672913117547,27.467665078284547
ORD-MLI,1170,15.05222602739726,27.435897435897438
LIT-ORD,1277,17.137686860739574,27.4079874706343
IND-FLL,1135,13.735865724381625,27.400881057268723
PBI-ORD,968,19.989648033126294,27.37603305785124
SAN-HOU,833,11.031363088057901,27.370948379351738
STL-FLL,881,12.831626848691695,27.355278093076052
MEM-DFW,2527,15.86935866983373,27.34467748318164
DEN-OAK,1856,9.482740021574973,27.316810344827587
PBI-JFK,2080,13.71710843373494,27.307692307692307
IAH-CMH,608,16.96540362438221,27.302631578947366
DEN-LBB,674,11.655223880597015,27.299703264094955
ATL-MCO,8790,15.078668338843917,27.29237770193402
DCA-HPN,1273,17.674015748031497,27.258444619010213
ORD-SBN,1938,15.571059431524548,27.24458204334365
DEN-FLL,1549,9.17000646412411,27.24338282763073
CLT-PNS,2060,14.613735996103264,27.233009708737864
ORD-MKE,2534,16.76451995258791,27.229676400947117
MSY-AUS,1528,10.87221494102228,27.225130890052355
EWR-IAD,1327,14.408301886792453,27.20422004521477
SAN-AUS,1960,9.353932584269662,27.193877551020407
RDU-DCA,2671,11.98948948948949,27.180831149382257
STT-SJU,740,13.501355013550135,27.16216216216216
DFW-EWR,3483,14.705576422999133,27.160493827160494
MCO-BQN,906,11.196902654867257,27.1523178807947
LAS-TPA,943,9.775053304904052,27.1474019088017
MIA-MDW,792,14.60864040660737,27.146464646464647
IAD-EWR,1323,15.44553706505295,27.13529856386999
BWI-DFW,1541,17.110893672537507,27.125243348475014
ORD-JFK,2706,14.370644922164566,27.12490761271249
FLL-BDL,789,13.512040557667934,27.122940430925226
MCO-HOU,2028,11.549281822684497,27.120315581854044
EWR-ROC,520,11.696153846153846,27.115384615384613
SJU-RDU,568,15.280918727915195,27.11267605633803
JFK-PBI,2073,10.977734753146176,27.110467920887604
AUS-BOS,1428,15.825842696629213,27.100840336134453
JFK-FLL,3820,10.450315457413248,27.094240837696336
SDF-MIA,502,21.11354581673307,27.091633466135455
MCO-AUS,2728,10.87559633027523,27.089442815249264
SEA-BUR,1521,7.116479152878888,27.087442472057855
CLT-PBI,2016,13.81781981085117,26.984126984126984
BWI-ISP,1249,10.612179487179487,26.98158526821457
FLL-CLE,1038,10.689788053949904,26.97495183044316
CRW-CLT,1083,13.895467160037002,26.96214219759926
DFW-SDF,2126,12.703389830508474,26.952022577610535
BWI-ROC,1106,9.454298642533937,26.94394213381555
BWI-CLT,3281,13.334249923617476,26.94300518134715
PHL-SFO,1381,8.975254730713246,26.937002172338886
ASE-DEN,2677,14.201271979049757,26.9331341053418
IAH-MCI,509,17.72244094488189,26.91552062868369
CLT-BNA,3631,12.752895752895753,26.907188102451112
FLL-SJU,2386,10.00083857442348,26.906957250628665
BWI-PWM,1253,9.490807354116706,26.895450917797287
HSV-DCA,1387,16.687726942628903,26.892573900504686
BWI-ORF,1529,8.396596858638743,26.880313930673644
BWI-MSY,1161,8.922279792746114,26.873385012919897
MDW-LAX,1362,7.373422420193021,26.87224669603524
DFW-TUL,3075,14.723778501628665,26.86178861788618
ORD-MSP,5942,12.603977081226828,26.859643217771794
MSP-SFO,1925,6.058333333333334,26.857142857142858
CLT-STL,1981,13.094492167761496,26.855123674911663
MIA-EWR,4067,13.686589281304025,26.850258175559382
MIA-DCA,3838,10.988222978277937,26.83689421573736
MIA-LGA,5547,11.497273718647765,26.80728321615288
GEG-DFW,679,22.739910313901344,26.804123711340207
CLT-ORD,4485,12.891173184357543,26.800445930880713
IAH-TUS,556,14.367567567567567,26.798561151079138
MKE-DFW,1224,18.919275123558485,26.797385620915033
SFB-TYS,616,10.607142857142858,26.785714285714285
SJU-ORD,1191,10.890691716481639,26.78421494542401
BWI-MKE,885,9.835028248587571,26.779661016949152
AUS-SNA,706,11.223796033994335,26.770538243626063
FLL-MYR,557,13.055655296229803,26.750448833034113
IAH-ICT,602,17.28405315614618,26.744186046511626
FLL-IAH,2563,12.912754303599375,26.726492391728446
MCO-PIT,2335,10.470588235294118,26.723768736616705
SYR-CLT,1194,15.128355704697986,26.716917922948074
BZN-DFW,700,29.48414985590778,26.71428571428571
MCO-MEM,809,12.38566131025958,26.699629171817058
CLT-LAX,2948,11.994565217391305,26.696065128900948
MIA-BNA,2481,15.178802588996763,26.68278919790407
ORD-DFW,6435,14.153497813866334,26.65112665112665
BOS-PDX,657,6.307926829268292,26.636225266362253
SAN-LAS,6653,12.774770711171252,26.63460093191042
CLT-SJU,1101,17.037340619307834,26.612170753860127
SEA-ANC,7516,6.321390516782099,26.609898882384247
CLE-PHL,1218,16.21264367816092,26.60098522167488
HSV-ORD,722,16.803051317614425,26.59279778393352
SEA-OAK,2242,8.295850066934404,26.583407671721677
DEN-SBP,730,11.947148817802503,26.575342465753426
DFW-CMH,1690,14.039762611275965,26.568047337278106
SAN-STS,704,9.35,26.5625
CLT-MSY,1834,13.421627525942109,26.553980370774266
ORD-SAT,1416,10.251946213729653,26.55367231638418
MCO-SAT,1175,10.40153452685422,26.553191489361698
DFW-PIT,1514,14.104566512243547,26.55217965653897
SEA-FAI,2309,6.177797051170859,26.548289302728456
CLT-BTV,716,10.873772791023843,26.536312849162012
BWI-HOU,1376,7.666422823701536,26.526162790697676
AVL-ORD,1086,12.040778498609823,26.519337016574585
BOI-SFO,1471,11.429158110882957,26.512576478586
HOU-MIA,668,11.378378378378379,26.497005988023954
CLT-SRQ,1737,16.208429561200923,26.482440990213014
CLT-JFK,3512,14.637115165336374,26.480637813211843
MIA-CLT,3588,14.210055865921788,26.477146042363437
ORD-CHO,627,10.456869009584665,26.475279106858054
JFK-MCO,4491,9.20656543099598,26.475172567356935
BOS-SFO,4403,5.672134882661198,26.45923234158528
TPA-CVG,953,15.227701993704093,26.442812172088143
FLL-HPN,972,12.26839378238342,26.440329218106996
FLL-ACY,575,8.945898778359512,26.43478260869565
MSN-CLT,946,19.437632135306554,26.42706131078224
IAH-AUS,2165,14.370781322237633,26.420323325635103
BWI-CMH,1094,11.241758241758241,26.416819012797077
DFW-MDW,534,14.155430711610487,26.40449438202247
SEA-SAT,629,6.225755166931638,26.391096979332275
AUS-SFO,1952,13.109799897383274,26.383196721311474
MSY-LAS,1036,8.08695652173913,26.351351351351347
CLT-ORF,2668,15.785204656402554,26.349325337331337
ORD-EWR,5968,12.256897711978466,26.340482573726543
CLT-ILM,2791,12.954414931801866,26.334647079899675
RIC-DFW,976,16.696813977389517,26.331967213114755
FLL-CHS,623,11.271268057784912,26.324237560192614
CLT-OMA,813,14.35960591133005,26.322263222632223
FLL-BWI,3816,10.778273419050118,26.310272536687627
DEN-MFR,730,10.94896551724138,26.301369863013697
MCO-MCI,1692,10.81020166073547,26.300236406619387
DAL-MCO,2639,11.620007607455307,26.29784009094354
SJU-BOS,2134,13.225047080979284,26.288659793814436
SAN-DAL,1514,12.184298070525616,26.28797886393659
CLT-BOS,5140,12.107344632768362,26.284046692607006
FLL-JFK,3825,13.679433368310598,26.27450980392157
BWI-PIT,1070,9.163551401869158,26.261682242990652
EWR-ORD,5956,11.640356782228206,26.259234385493617
SJU-EWR,2210,13.989076012744652,26.244343891402718
AGS-CLT,992,19.58467741935484,26.209677419354836
STT-JFK,538,14.9106463878327,26.20817843866171
MDW-ALB,710,9.394625176803395,26.197183098591548
DEN-TPA,3176,9.349336702463676,26.19647355163728
BWI-PHX,1123,5.292595896520964,26.179875333926983
BWI-PBI,1330,8.855312735493595,26.165413533834585
SAN-DFW,3459,18.78200290275762,26.16363110725643
LAS-FLL,883,11.896473265073947,26.160815402038505
CLT-SLC,914,10.34357848518112,26.148796498905906
RDU-CLT,3649,14.003015350877194,26.14414908194026
CAK-ORD,1052,17.723120837297813,26.140684410646386
MIA-SLC,551,11.147810218978103,26.13430127041742
FLL-SEA,873,9.047785547785548,26.11683848797251
DAL-SMF,556,7.827338129496403,26.07913669064748
IAH-BOS,1948,12.669757856774858,26.07802874743326
ORD-FLL,2954,13.39368206521739,26.066350710900476
IND-MIA,798,15.834170854271356,26.065162907268167
ORD-MBS,1036,11.655405405405405,26.061776061776058
BWI-RDU,1861,8.269644779332616,26.06125738850081
HPN-DCA,1278,17.20204402515723,26.056338028169012
MIA-STX,622,13.332797427652734,26.04501607717042
VPS-CLT,1156,19.40727902946274,26.038062283737023
CVG-CLT,2216,15.254520795660037,26.037906137184113
PHL-CVG,1264,14.951702296120349,26.02848101265823
CLT-MIA,3581,13.77634529147982,26.02624965093549
BWI-SAN,980,7.1915550978372815,26.02040816326531
BWI-RSW,1361,10.56364974245769,26.01028655400441
IAH-CLT,2558,14.939287113200157,25.99687255668491
GSO-DFW,908,14.597790055248618,25.991189427312776
CLT-HPN,1455,13.57033957033957,25.979381443298973
BWI-PVD,1840,9.984782608695653,25.97826086956522
MDW-OAK,639,5.21978021978022,25.978090766823158
LGA-PBI,2857,10.372060372060371,25.971298564928247
MIA-MSP,1263,12.122918318794607,25.96991290577989
CHO-ORD,624,16.576489533011273,25.961538461538463
MCO-ATL,8830,14.331595057249745,25.94563986409966
SEA-TPA,991,7.165650406504065,25.93340060544904
DFW-ORD,6439,12.18853225303833,25.904643578195376
CLT-PHX,3019,8.79628400796284,25.90261676051673
DFW-ATL,6417,13.815727882665003,25.899953249181863
PHL-ORF,726,18.466206896551725,25.895316804407713
LAS-MCO,1263,9.891183478951548,25.890736342042754
FNT-ORD,815,22.088452088452087,25.88957055214724
DFW-LEX,1043,13.478344562078922,25.886864813039313
JAX-DFW,1963,14.408717948717948,25.87875700458482
BWI-SAT,773,5.5519480519480515,25.873221216041397
CLT-LEX,2010,12.806178375685102,25.870646766169152
DEN-HNL,576,16.008802816901408,25.868055555555557
PHX-MSY,758,10.08454425363276,25.857519788918204
CLT-EYW,1404,15.909287257019438,25.85470085470086
ACT-DFW,1060,15.302830188679245,25.849056603773583
IAH-EWR,3669,12.327751852868515,25.838103025347507
CLT-CRW,1084,11.530989824236817,25.830258302583026
MCI-FLL,573,12.905759162303665,25.82897033158813
DEN-RDU,1874,8.712987707108498,25.827107790821774
MDW-MIA,792,15.705583756345177,25.757575757575758
DEN-ASE,2683,16.27399322544223,25.754752143123373
SGF-CLT,1278,19.71114599686028,25.7433489827856
ORD-FWA,1212,13.762613730355666,25.742574257425744
DTW-LAN,995,16.278391959798995,25.728643216080403
MIA-DTW,1621,11.117719950433704,25.724861196792105
TPA-AUS,1003,10.67032967032967,25.72283150548355
MDW-HOU,1739,5.91453488372093,25.704427832087408
