Origin,flights,avg_arr_delay,pct_delayed
PLN,3973,4.965456379223399,13.843443241882708
GFK,6383,2.33307210031348,13.817953940153533
GNV,16088,2.7696188340807173,13.768025857782199
DAY,35267,-0.16343639877230876,13.718206822241754
TRI,12420,-0.005000806581706727,13.679549114331724
LBL,2906,1.6185389386629911,13.626978664831382
BQK,4199,3.8665395614871305,13.55084543939033
MLU,9967,2.6145885662614288,13.544697501755795
JMS,3793,6.708753315649868,13.498549960453468
JAN,33010,0.7701480762228425,13.474704634959103
GTF,12087,2.4712615078377707,13.469016298502524
MHK,5781,0.5881435257410297,13.44058121432278
BLI,11806,1.9302384791648985,13.433847196340842
OME,2504,-2.547945205479452,13.418530351437699
DRT,1919,3.9671189979123174,13.340281396560707
DLH,9245,0.9627584713651618,13.29367225527312
BGM,2132,4.310944105213715,13.227016885553471
PSC,25069,1.5549558194394466,13.167657265945989
ALO,1714,-1.4457409568261377,13.127187864644107
YUM,8213,5.467643467643468,13.113356873249726
GRB,19460,0.3849832861918231,12.975334018499485
MLB,12355,0.026377729080431782,12.950222581950626
MKG,1731,-0.47630057803468207,12.824956672443674
RDD,6582,3.0480900928321413,12.822850197508357
PIR,1163,1.9157351676698193,12.811693895098882
EAR,2300,6.340165721761884,12.73913043478261
MFR,28494,2.3157395034812573,12.641257808661472
SGU,14862,1.5366001617686709,12.562239267931638
EAU,1876,-0.976,12.473347547974413
SWO,3205,2.694565896314803,12.418096723868954
VLD,4580,4.528202885876694,12.401746724890831
DAB,14057,1.0219748858447488,12.385288468378745
FAY,10683,1.5160382667416994,12.206309089207151
ITO,29045,2.0982053666770004,12.191427095885695
WYS,1586,6.743346007604563,12.168978562421186
RST,9109,-1.2088781452587627,12.163794049840817
AZO,6980,-0.3300358422939068,12.120343839541547
CYS,1984,1.859808371154816,12.096774193548388
ITH,2970,-1.205327039784221,12.02020202020202
ABR,3555,2.4296567248171077,12.0112517580872
CWA,7170,-1.3303059941316193,11.98047419804742
PUB,1825,2.09165751920966,11.945205479452055
LWS,4606,5.002401222440515,11.940946591402518
ALW,2184,2.1631530705774518,11.813186813186812
ABY,4319,1.8099211868335652,11.66936790923825
PHF,2278,0.7245166959578208,11.457418788410886
BJI,3538,1.186138613861386,11.447145279819107
DHN,4355,-2.2667893284268628,11.435132032146958
EWN,3973,-0.38269424823410697,11.42713314875409
OAJ,9894,-0.2685147713476325,11.31999191429149
RKS,2502,5.66426282051282,11.310951239008793
YKM,1333,2.345086271567892,11.252813203300825
SCC,2386,-6.279949558638084,11.232187761944678
INL,3011,1.7943521594684386,11.192294918631685
ERI,1527,-2.527942143326759,11.067452521283561
OTZ,2462,-3.6554109031733115,11.047928513403736
LSE,5696,-2.3927943760984185,10.902387640449438
RHI,3827,-7.687941407271776,10.765612751502482
BRD,3198,-2.659368157647795,10.725453408380238
HLN,7005,-0.05836074953511658,10.692362598144182
PAH,2073,-1.9348140994688556,10.5643994211288
CGI,1646,-2.720632988435788,10.328068043742405
VCT,2520,-2.1291219705999205,10.277777777777777
HIB,3152,-2.9876151159098128,9.612944162436548
GTR,4425,-5.18397827562797,9.378531073446329
DBQ,1451,-7.031034482758621,9.097174362508614
BTM,3267,-6.668707899571341,8.999081726354454
TWF,3661,-2.4184901531728666,8.54957661841027
EKO,2297,3.3067538126361655,7.531562908141054
CDC,2894,-4.246281563472847,7.394609536973047
GUM,3449,-5.227668213457076,6.900550884314294
PIH,3325,-5.350782190132371,6.255639097744361
SPN,1631,-6.08645003065604,6.131207847946046
